1,Colman's Original English Mustard,4.29,"N,N","Not for the faint hearted, the Original English Mustard from Colman's will set your taste buds ablaze.  ",,,,
2,Pesto From San Remo,6.99,"N,N","Use this delicious pesto on pasta or use to enhance the taste of soups, dips, broiled fish or meats. A traditional blend of olive oil, cheese, walnuts, cashew nuts, and spices make this an unmistakable taste of the old country.",,,,
3,Ribena Black Currant Drink,9.99,"N,N","Rich in vitamin C and traditionally mixed with water, Ribena will make you fall in love all over again with black currant.",,,,
5,Kronung Mild & Fine Ground Coffee,6.99,"N,N","A special Jacob Kronung selection, this premium blend appeals to the most refined of coffee palates. Incredibly smooth and unbelievably mild, its finely ground texture makes for a truly rich coffee experience. ",,,,
6,Frank Cooper's Fine Cut Oxford Marmalade,10.99,"N,N","The full flavor of Seville oranges, made just a little sweeter.  A bright and zesty marmalade savored by all who have tried it. ",,,,
7,Felix Lingonberries,7.49,"N,N",<strong>Felix Lingonberries</strong> are a staple in a traditional Swedish pantry. Felix lingonberries grow wild and are hand-picked in the forests of northern Sweden where there is sunlight 24 hours a day.,"<p>Bursting with natural preservatives and pectin, just a little sugar is added for the perfect balance between sweet and tart. Try <strong>Felix Lingonberries</strong> with classic Swedish meatballs, on pancakes or waffles, or even in sauces and chutneys. (10.0 oz. jar) &lt;i&gt;Kosher&lt;/i&gt;</p>",,,
8,Fireman's Pommery Mustard,19.99,"N,N","A robust whole grain mustard that is incredibly smooth and deliciously hot. Mustard from Meaux has been made by the Pommery family according to a closely guarded secret recipe since 1760. It will enhance highly spiced dishes in the Mexican, Texan or Korean tradition as well as sauerkraut and other grilled dishes.",,,,
9,Hu-kwa Tea 8oz. Tin,18,"N,N","We have had the pleasure of supplying discriminating tea drinkers with this delicately smoked Lapsang Souchong tea since 1950. This long leaf tea from the island of Formosa has long been a tea connoisseur’s favorite. Hu-Kwa gains its distinctive flavor and smoky tang from the pine fires over which it is dried. Distinctive with its smoky flavor and aroma, it produces a deep red liquor and mellow cup when brewed. Hu-Kwa tea is recognized around the world as the benchmark for Formosan Lapsang Souchong tea.",,,,
10,Hu-kwa Tea 4 oz. Tin,13.99,"N,N","We have had the pleasure of supplying discriminating tea drinkers with this delicately smoked Lapsang Souchong tea since 1950. This long leaf tea from the island of Formosa has long been a tea connoisseur’s favorite. Hu-Kwa gains its distinctive flavor and smoky tang from the pine fires over which it is dried. Distinctive with its smoky flavor and aroma, it produces a deep red liquor and mellow cup when brewed. Hu-Kwa tea is recognized around the world as the benchmark for Formosan Lapsang Souchong tea.",,,,
11,Hu-kwa Tea 25 Ct. Tea Bags,7.99,"N,N","We have had the pleasure of supplying discriminating tea drinkers with this delicately smoked Lapsang Souchong tea since 1950. This long leaf tea from the island of Formosa has long been a tea connoisseur’s favorite. Hu-Kwa gains its distinctive flavor and smoky tang from the pine fires over which it is dried. Distinctive with its smoky flavor and aroma, it produces a deep red liquor and mellow cup when brewed. Hu-Kwa tea is recognized around the world as the benchmark for Formosan Lapsang Souchong tea.",,,,
12,Boston Harbour Loose Tea 4 oz. Tin,13.99,"N,N","Boston Harbour Tea is a fine blend of select Ceylon and Darjeeling teas. Its sweet aroma and brisk flavor have been applauded by tea connoisseurs for many years. Britain’s oldest tea merchant Davison, Newman & Co., whose tea chests were destroyed in the 1774 tea party, still operates today and has made this a world renowned blend.",,,,
13,MEM Tea Co. Linden Flower,8.99,"N,N","Tilleul in French, this wild-harvested herbal tea is light and buttery with a soft aroma and natural honey-like sweetness. Improves digestion through relaxation. ",,,,
14,Colman's English Mustard Powder,9.99,"N,N","Double superfine mustard powder, this traditional recipe is tangy, smooth, and delivers an incredible amount of flavor. ",,,,
15,Pommery Green Peppercorn Mustard,17.99,"N,N",Mustard from Meaux has been made by the Pommery family according to a closely guarded secret recipe since 1760. This incredibly well balanced blend of traditional French mustard and Madagascar green peppercorns has been developed with great care and will enhance any food experience.,,,,
16,Verkade Cafe Noir,6.99,"N,N","A deliciously crunchy biscuit with a thick layer of coffee glaze. Imported from Holland, these are perfect for tea time, after dinner, or just as a special treat.",,,,
17,Reber Mozart Kugeln Portrait Box,39.99,"N,N","Music to any candy lover's ears. A classical Reber Picture Box containing 20 “Genuine Reber Mozart-Kugeln®” exquisitely filled with pistachio marzipan out of fresh, green pistachios, almonds and hazelnut praline, covered with fine milk chocolate and bitter sweet dark chocolate. Imported from Germany. (14.1 oz. box)",,,,
18,Reber Mozart Kugeln 15 Piece Gift Tin,27.99,"N,N","Each piece in this handsome collectible gift tin is exquisitely filled with pistachio-marzipan made from fresh green pistachios and hazelnut nougat, double dipped in milk and then in dark chocolate. Imported from Germany. (10.6 oz. tin)",,,,
19,Pommery Red Top Crock Mustard,24.99,"N,N","This perfectly crafted Meaux mustard is made of all natural products which lend to it's unique flavor and subtle aroma. Widely considered as the premier gourmet blend, world renowned epicure Brillat-Savarin once noted it as the true gourmet mustard, saying ""If it isn't Meaux, it isn't mustard.""",,,,
20,Grether's Black Currant Pastilles,60,"N,N","The original formula for throat and voice made with glycerin & natural fruit juices. Handmade in Switzerland, they also make for a delicious treat in times of health! (440 gr. tin)",,,,
21,Clement Faugier Candied Chestnuts,65,"N,N","These traditional French candied chestnuts are truly a labor of love- hand selected, double boiled, and peeled before being cooked in the finest sugar and vanilla baths. These traditional French culinary masterpieces are not to be missed!",,,,
22,I Peccati di Ciacco Truffle Honey,12.99,"N,N","A gorgeous, well-balanced version of the classic condiment. I Peccati di Ciacco's black truffle-infused honey has a rich millefiori honey base with a richness to match the subtle infusion of real Italian black truffles. In the Piedmont village of Monteu Roero, located in northwest Italy, I Peccati di Ciacco produces small batches of regionally-inspired delicacies with the utmost attention to freshness and quality. ",,,,
23,Roka Cheese Crispies,19.99,"N,N","With the in-depth experience in making puff-pastry cheese crispies based on Gouda, Roka has recently developed a variant based on Cheddar cheese, by far the best known and most widely consumed cheese of the English-speaking world. The 12-month matured red Cheddar which is used to make Roka cheese crispies, has a rich, rather nutty flavor, which gives them an enjoyably mild, but rich cheese taste. This 'Original crispy cheese bite' is delicious with a glass of wine or port, especially in good company. (7 oz. tin)",,,,
24,Niederegger Dark Chocolate Marzipan 10oz Loaf ,24.99,"N,N","The legendary German confectioner, Niederegger has been the world's leading marzipan producers for over 200 years. One of the only confectioners to use 100% pure sweet almond paste, this bar has also been dipped in the finest German bittersweet chocolate. Try for yourself and see what the world is talking about.",,,,
25,Niederegger Marzipan Loaf,6.99,"N,N","For over 200 years, Niederegger has been the world's leading  producer of marzipan products. Classified as 100% marzipan, this is the purest presentation of the world famous confection. ",,,,
26,Niederegger Dark Chocolate Marzipan Loaf,11.99,"N,N","For over 200 years, Niederegger has produced the world's finest marzipan from their family owned estate in Lubeck, Germany. Classified as 100% marzipan, this is the purest presentation of the world famous confection. ",,,,
